"Sign In","LOGIN"
"Create an Account","CADASTRE-SE"
"Do","FAÇA"
"or","OU"
"sign up for our","Cadastre-se em nossa "
"to win ","ganhe "
"10% off ","10% de desconto "
"in the first purchase","na primeira compra."
"Enter your email address","Digite seu email"
"Enter your name","Digite seu nome"
"Send","ENVIAR"
"My Bag","MINHA SACOLA"
"Service","ATENDIMENTO"
"free shipping","FRETE GRÁTIS"
"on purchases over BRL 200.00","nas compras acima de R$ 200,00"
"10% Off","10% DESCONTO"
"by bank slip or deposit","no boleto ou depósito bancário"
"installment","PARCELAMENTO"
"up to 12 installments without interest on the card","em até 12x sem juros no cartão"
"100% safe","100% SEGURO"
"here you can trust","aqui você pode confiar"
